name,type,status
E52 Deficiencia de riboflavina,clinical problems,1  
E53 Deficiencia de otras vitaminas del grupo B,clinical problems,1  
E54 Deficiencia de niacina (pelagra),clinical problems,1  
E55 Deficiencia de vitamina D,clinical problems,1  
E56 Otras deficiencias de vitaminas,clinical problems,1  
E58 Deficiencia de calcio en la dieta,clinical problems,1  
E59 Deficiencia de selenio en la dieta,clinical problems,1  
E60 Deficiencia de zinc en la dieta,clinical problems,1  
E61 Deficiencia de otros elementos nutricionales,clinical problems,1  
E63 Otras deficiencias de la dieta,clinical problems,1  
E64 Secuelas de desnutrición y otras deficiencias nutricionales,clinical problems,1  
E65 Obesidad localizada,clinical problems,1  
E66 Obesidad,clinical problems,1  
E67 Otras formas de hiperalimentación,clinical problems,1  
E68 Secuelas de hiperalimentación,clinical problems,1  
E70 Trastornos del metabolismo de los aminoácidos aromáticos,clinical problems,1  
E71 Trastornos del metabolismo de los aminoácidos ramificados y del metabolismo de los ácidos grasos,clinical problems,1  
E72 Otros trastornos del metabolismo de los aminoácidos,clinical problems,1  
E73 Intolerancia a la lactosa,clinical problems,1  
E74 Otros trastornos del metabolismo de los carbohidratos,clinical problems,1  
E75 Trastornos del metabolismo de los esfingolípidos y otros trastornos lipídicos,clinical problems,1  
E76 Trastornos del metabolismo de los mucopolisacáridos,clinical problems,1  
E77 Trastornos del metabolismo de las glucoproteínas,clinical problems,1  
E78 Trastornos del metabolismo de las lipoproteínas y otras lipidemias,clinical problems,1  
E79 Trastornos del metabolismo de las purinas y pirimidinas,clinical problems,1  
E80 Trastornos del metabolismo de los pigmentos de la bilis,clinical problems,1  
E83 Trastornos del metabolismo de los minerales,clinical problems,1  
E84 Fibrosis quística,clinical problems,1  
E85 Amiloidosis,clinical problems,1  
E86 Depleción de volumen,clinical problems,1  
E87 Otros trastornos del equilibrio hidroelectrolítico y ácido-base,clinical problems,1  
E88 Otros trastornos metabólicos,clinical problems,1  
E89 Trastornos endocrinos y metabólicos posteriores a procedimientos, no clasificados en otra parte,clinical problems,1  
F00 Demencia en la enfermedad de Alzheimer,clinical problems,1  
F01 Demencia vascular,clinical problems,1  
F02 Demencia en otras enfermedades clasificadas en otra parte,clinical problems,1  
F03 Demencia, no especificada,clinical problems,1  
F04 Síndrome amnésico orgánico, no inducido por alcohol u otras sustancias psicoactivas,clinical problems,1  
F05 Delirio, no inducido por alcohol u otras sustancias psicoactivas,clinical problems,1  
F06 Otros trastornos mentales debidos a daño y disfunción cerebral y a enfermedad física,clinical problems,1  
F07 Trastornos de la personalidad y del comportamiento debidos a enfermedad, daño y disfunción cerebral,clinical problems,1  
F09 Trastorno mental orgánico o sintomático, no especificado,clinical problems,1  
F10 Trastornos mentales y del comportamiento debidos al uso de alcohol,clinical problems,1  
F11 Trastornos mentales y del comportamiento debidos al uso de opiáceos,clinical problems,1  
F12 Trastornos mentales y del comportamiento debidos al uso de cannabinoides,clinical problems,1  
F13 Trastornos mentales y del comportamiento debidos al uso de sedantes o hipnóticos,clinical problems,1  
F14 Trastornos mentales y del comportamiento debidos al uso de cocaína,clinical problems,1  
F15 Trastornos mentales y del comportamiento debidos al uso de otros estimulantes, incluidos la cafeína,clinical problems,1  
F16 Trastornos mentales y del comportamiento debidos al uso de alucinógenos,clinical problems,1  
F17 Trastornos mentales y del comportamiento debidos al uso de tabaco,clinical problems,1  
F18 Trastornos mentales y del comportamiento debidos al uso de disolventes volátiles,clinical problems,1  
F19 Trastornos mentales y del comportamiento debidos al uso de múltiples sustancias psicoactivas y al uso de otras sustancias psicoactivas,clinical problems,1  
F20 Esquizofrenia,clinical problems,1  
F21 Trastorno esquizotípico,clinical problems,1  
F22 Trastornos delirantes persistentes,clinical problems,1  
F23 Trastornos psicóticos agudos y transitorios,clinical problems,1  
F24 Trastorno delirante inducido,clinical problems,1  
F25 Trastornos esquizoafectivos,clinical problems,1  
F28 Otros trastornos psicóticos no orgánicos,clinical problems,1  
F29 Psicosis no orgánica, no especificada,clinical problems,1  
F30 Episodio maníaco,clinical problems,1  
F31 Trastorno afectivo bipolar,clinical problems,1  
F32 Episodio depresivo,clinical problems,1  
F33 Trastorno depresivo recurrente,clinical problems,1  
F34 Trastornos afectivos persistentes,clinical problems,1  
F38 Otros trastornos afectivos,clinical problems,1  
F39 Trastorno afectivo, no especificado,clinical problems,1  
F40 Trastornos fóbicos de ansiedad,clinical problems,1  
F41 Otros trastornos de ansiedad,clinical problems,1  
F42 Trastorno obsesivo-compulsivo,clinical problems,1  
F43 Reacción a estrés grave y trastornos de adaptación,clinical problems,1  
F44 Trastornos disociativos (de conversión),clinical problems,1  
F45 Trastornos somatomorfos,clinical problems,1  
F48 Otros trastornos neuróticos,clinical problems,1  
F50 Trastornos de la ingestión de alimentos,clinical problems,1  
F51 Trastornos del sueño no orgánicos,clinical problems,1  
F52 Disfunción sexual no debida a trastorno o enfermedad orgánica,clinical problems,1  
F53 Trastornos mentales y del comportamiento asociados con el puerperio, no clasificados en otra parte,clinical problems,1  
F54 Factores psicológicos y del comportamiento asociados con trastornos o enfermedades clasificados en otra parte,clinical problems,1  
F55 Abuso de sustancias que no producen dependencia,clinical problems,1  
F59 Síntomas y signos no orgánicos, no especificados,clinical problems,1  
F60 Trastornos específicos de la personalidad,clinical problems,1  
F61 Trastornos mixtos y otros trastornos de la personalidad,clinical problems,1  
F62 Cambios duraderos de la personalidad, no atribuibles a lesión o enfermedad cerebral,clinical problems,1  
